sku,total_sales,post_date,post_name,post_type,pays
,,,,,
15075,3,2018-02-14 15:39:43,pares-balta-penedes-indigena-2017,product,FR
16209,6,2018-02-14 17:15:31,maurel-cabardes-tradition-2017,product,FR
13895,0,2019-03-19 10:41:50,chateau-saransot-dupre-bordeaux-blanc-2016,product,FR
12857,0,2018-04-12 17:56:13,chateau-de-puligny-montrachet-1cru-champ-canet-2014,product,FR
14106,0,2019-06-08 09:54:21,stephane-tissot-chateau-chalon-2011,product,FR
13996,2,2019-07-25 09:09:17,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2015,product,FR
15428,7,2018-02-20 10:40:13,st-denis-macon-lugny-2017,product,FR
,,,,,FR
7033,4,2019-03-13 13:44:44,huile-olive-planeta-3l,product,FR
16077,37,2019-07-24 09:33:52,domaine-giudicelli-patrimonio-rouge-2016,product,FR
16237,36,2018-02-13 14:13:53,elian-daros-cotes-du-marmandais-clos-baquey-2015,product,FR
16028,9,2019-05-16 15:51:57,clos-du-mont-olivet-cotes-du-rhone-blanc-2019,product,FR
1364,0,2018-02-13 13:36:44,champagne-mailly-grand-cru-brut-rose,product,FR
13913,0,2018-07-18 10:46:30,champagne-agrapart-fils-mineral-extra-brut-blanc-de-blancs-grand-cru-2012,product,FR
19815,0,2018-02-12 09:04:37,pierre-jean-villa-cote-rotie-carmina-2017,product,FR
14982,0,2019-01-31 15:13:51,francois-baur-gewurztraminer-herrenweg-de-turckheim-2016,product,FR
15339,0,2018-02-13 11:39:19,zind-humbrecht-pinot-gris-roche-calcaire-2017,product,FR
15382,0,2018-02-13 11:08:45,zind-humbrecht-riesling-gc-rangen-thann-clos-st-urbain-2017,product,FR
15325,4,2019-03-27 17:59:49,agnes-levet-amethyste-2017,product,FR
14941,6,2018-02-13 14:34:40,elian-daros-cotes-du-marmandais-coucou-blanc-2016,product,FR
15241,0,2019-03-26 17:54:19,maison-trimbach-riesling-grand-cru-schlossberg-2015,product,FR
12641,0,2018-03-22 10:53:34,whisky-wemyss-peat-chimney-batch-strength,product,FR
12942,0,2018-02-27 13:29:52,domaine-serol-mousseux-turbullent,product,FR
15344,0,2018-07-31 11:55:32,albert-mann-pinot-noir-les-saintes-claires-2017,product,FR
15661,0,2020-02-22 14:03:10,catherine-et-claude-marechal-savigny-les-beaune-rouge-2017,product,FR
16274,13,2018-05-03 13:09:18,mourgues-du-gres-costieres-de-nimes-capitelles-rose-2018,product,FR
15718,0,2018-02-16 10:02:13,lucien-boillot-volnay-1ercru-angles-2017,product,FR
14395,4,2018-05-15 10:45:05,alphonse-mellot-sancerre-blanc-edmond-2016,product,FR
15254,0,2019-03-13 14:56:23,camille-giroud-marsannay-longeroies-2016,product,FR
14839,3,2018-07-17 14:32:01,chateau-tour-des-gendres-bergerac-blanc-cuvee-des-conti-2017,product,FR
13957,0,2018-11-26 10:16:51,thierry-germain-saumur-champigny-franc-de-pied-2017,product,FR
15004,3,2018-04-17 21:08:33,albert-mann-gewurztraminer-2017,product,FR
16005,4,2018-06-07 17:05:04,chateau-lafont-menaut-pessac-leognan-rouge-2017,product,FR
15615,8,2018-05-15 12:00:26,jean-baptiste-arena-patrimonio-morta-maio,product,FR
15206,5,2018-04-17 09:47:54,thierry-germain-saumur-blanc-linsolite-2018,product,FR
14371,0,2018-04-13 15:53:44,alphonse-mellot-sancerre-rouge-la-demoiselle-2015,product,FR
15378,1,2018-02-13 09:51:50,paul-ginglinger-pinot-noir-les-rocailles-2016,product,GER
15141,18,2018-02-13 14:26:09,elian-daros-cotes-du-marmandais-vin-fete-2017,product,GER
14805,0,2018-05-15 10:10:57,domaine-des-croix-corton-grand-cru-les-greves-2017,product,GER
16238,7,2018-02-13 13:57:13,elian-daros-cotes-du-marmandais-chante-coucou-2016,product,GER
15280,0,2018-04-17 15:53:22,domaine-rotier-gaillac-blanc-doux-les-gravels-2016,product,GER
,,,,,IT
15038,10,2018-04-13 15:27:12,gilbert-picq-chablis-vieilles-vignes-2017,product,IT
16505,12,2018-02-13 10:19:23,emile-boeckel-riesling-gc-wiebelsberg-2016,product,IT
15880,1,2018-04-18 11:31:10,francois-baur-pinot-gris-herrenweg-de-turckheim-2018,product,IT
16527,15,2018-04-17 22:17:45,domaine-schoenheitz-pinot-noir-tradition-2019,product,IT
15649,18,2018-09-13 15:25:52,la-preceptorie-maury-sec-rouge-copain-comme-cochon-2018,product,IT
15621,19,2018-04-12 09:51:40,domaine-giudicelli-vfd-ete-rouge-2018,product,IT
14604,7,2019-07-24 09:27:36,domaine-giudicelli-muscat-du-cap-corse-2016,product,IT
15032,8,2018-02-20 11:48:09,domaine-saint-denis-bourgogne-rouge-le-clos-2017,product,IT
,,,,,IT
15329,3,2019-03-27 18:28:15,agnes-levet-cote-rotie-peroline-2017,product,IT
15733,19,2018-04-19 14:35:01,maurice-schoech-riesling-grand-cru-kaefferkopf-2018,product,IT
15237,0,2019-03-26 17:42:31,maison-trimbach-riesling-2017,product,IT
15711,0,2018-07-31 10:33:12,lucien-boillot-gevrey-chambertin-les-evocelles-2017,product,IT
15261,6,2018-02-16 14:53:33,cotelleraie-saint-nicolas-croisee-2018,product,IT
15790,0,2020-01-23 11:23:58,weingut-besson-strasser-zurich-rauschling-2018,product,IT
15414,3,2018-02-15 14:40:54,mas-laval-igp-pays-dherault-les-pampres-rouges-2017,product,IT
15030,9,2018-04-13 15:35:29,gilbert-picq-chablis-2017,product,IT
14950,4,2018-04-18 11:53:51,francois-baur-pinot-noir-schlittweg-2017,product,IT
15892,0,2019-04-18 11:22:53,domaine-labranche-laffont-pacherenc-vic-bihl-sec-2017,product,IT
15425,4,2018-05-17 12:26:25,domaine-la-croix-belle-cotes-de-thongue-rouge-la-caringole-2018,product,IT
16130,9,2018-10-09 15:22:19,decelle-villa-meursault-2018,product,IT
,,,,,IT
807,0,2018-04-14 11:43:35,marcel-windholtz-eau-de-vie-de-sureau-copie,product,IT
15933,12,2018-04-17 16:24:35,domaine-de-joy-cotes-de-gascogne-blanc-moelleux-saint-andre-2018,product,IT
15868,6,2018-07-17 09:30:42,duband-cotes-de-nuits-villages-2017,product,IT
,,,,,IT
15478,1,2018-04-13 13:36:35,marc-colin-et-fils-saint-aubin-en-montceau-2017,product,IT
15269,6,2018-02-12 10:16:27,pierre-gaillard-cote-rotie-rose-pourpre-2017,product,IT
,,,,,
13904,0,2018-09-06 10:07:35,australie-maverick-breechens-blend-2012,product,US
793,4,2018-04-14 11:52:20,marcel-windholtz-eau-de-vie-de-coing,product,US
14302,7,2018-04-19 13:03:31,chateau-de-la-liquiere-pays-dherault-blanc-a-mi-chemin-2017,product,US
14192,0,2018-10-09 17:27:22,chateau-de-la-selve-coteaux-de-lardeche-rouge-serre-berty-2014,product,US
10775,0,2018-04-17 21:28:52,albert-mann-pinot-gris-vendanges-tardives-altenbourg-2011,product,US
15448,1,2018-04-19 13:48:57,maurice-schoech-pinot-auxerrois-2018,product,US
15736,0,2020-04-24 21:32:59,gratavinum-priorat-2%cf%80r-2017,product,US
,,,,,US
15648,3,2018-02-13 13:32:49,champagne-mailly-grand-cru-extra-brut-2012,product,US
15921,0,2019-01-15 16:31:35,albert-boxler-riesling-grand-cru-sommerberg-d-2018,product,US
16148,1,2018-05-03 13:20:05,chateau-de-la-selve-igp-coteaux-de-lardeche-maguelonne-rose-2019,product,US
15735,0,2020-04-24 20:55:26,domino-romano-ribera-del-duero-rdr-2015,product,US
15196,0,2018-04-17 22:04:25,domaine-schoenheitz-pinot-blanc-val-saint-gregoire-2017,product,US
16071,0,2020-01-18 10:21:05,clos-du-mont-olivet-chateauneuf-du-pape-2018,product,US
13531,1,2018-07-27 10:21:50,domaine-de-montgilet-anjou-rouge-2016-2,product,US
13969,0,2018-11-26 10:28:41,thierry-germain-saumur-champigny-clos-echelier-2017,product,US
14632,0,2018-04-18 21:29:50,jean-paul-brun-saint-amour-2017,product,US
12869,0,2019-03-28 14:29:35,stephane-tissot-arbois-dd-2016,product,UK
16564,3,2018-04-19 13:41:51,paul-ginglinger-pinot-blanc-2017,product,UK
14975,0,2018-02-12 09:45:14,pierre-gaillard-condrieu-2018,product,UK
13435,10,2018-02-12 14:52:10,domaine-des-bosquets-gigondas-colline-2015,product,UK
16263,12,2018-02-15 10:36:35,chateau-de-la-liquiere-faugeres-les-amandiers-rouge-2019,product,UK
14506,0,2018-04-19 14:56:05,domaine-peyre-rose-clos-des-cistes-2008,product,UK
15527,0,2018-04-17 15:22:16,pelle-menetou-salon-rouge-les-cris-2015,product,UK
14580,0,2018-07-17 09:53:18,david-duband-morey-saint-denis-1er-cru-les-broc-2016,product,UK
13089,1,2018-02-27 13:20:53,domaine-serol-cote-roannaise-cabochard-2016,product,UK
16053,1,2018-04-17 15:14:00,pelle-menetou-salon-blanc-le-carroir-2018,product,UK
14944,3,2018-02-13 14:29:41,elian-daros-cotes-du-marmandais-vignoble-elian-2016,product,UK
16264,38,2019-05-03 11:18:00,chateau-de-la-liquiere-faugeres-ampoule-2019,product,UK
11586,0,2018-03-22 10:28:41,whisky-wemyss-spice-king,product,UK
15213,1,2018-02-16 10:23:45,ecu-muscadet-classic-2018,product,UK
13959,1,2018-11-26 10:12:27,thierry-germain-saumur-champigny-terres-chaudes-2017,product,UK
15657,0,2018-04-17 22:07:28,domaine-schoenheitz-pinot-gris-herrenreben-2017,product,UK
16151,4,2018-04-13 13:49:18,catherine-et-claude-marechal-bourgogne-aligote-2018,product,UK
15479,0,2020-01-03 17:12:27,marc-colin-et-fils-saint-aubin-1ercru-chateniere-2017,product,UK
15887,0,2020-05-02 15:00:54,jamet-cote-rotie-fructus-voluptas-2018,product,UK
,,,,,UK
15891,0,2020-05-02 14:53:40,camin-larredya-jurancon-sec-la-virada-2018,product,UK
bon-cadeau-25-euros,10,2018-06-01 13:53:46,bon-cadeau-de-25-euros,product,UK
12791,0,2018-07-17 10:36:03,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2014,product,UK
13910,5,2019-03-28 10:30:16,gilbert-picq-chablis-1er-cru-vaucoupin-2016,product,UK
16210,43,2018-02-14 16:54:33,maurel-pays-oc-chardonnay-2019,product,UK
15526,4,2018-10-09 14:21:32,pelle-menetou-salon-blanc-ratier-2018,product,UK
16342,1,2018-05-03 11:37:55,chateau-turcaud-rose-2019,product,UK
13567,2,2019-03-19 15:34:53,la-croix-meunier-saint-emilion-grand-cru-2014,product,UK
3506,1,2018-03-22 11:13:24,cognac-frapin-vsop,product,UK
