product_id,price,stock_status
3847,"24,2",outofstock
3849,"34,3",outofstock
3850,"20,8",outofstock
4032,"14,1",outofstock
4039,46,outofstock
4040,"34,3",outofstock
4041,"32,7",instock
4042,"31,2",instock
4043,60,instock
4045,"42,6",instock
4046,80,outofstock
4047,"18,3",instock
4048,"22,8",instock
4049,"19,3",instock
4050,"21,8",outofstock
4051,"7,7",instock
4052,"33,7",instock
4053,"44,3",instock
4054,"71,6",outofstock
4055,"86,1",outofstock
4056,"12,7",outofstock
4057,"8,7",instock
4058,"8,7",instock
4059,"8,7",instock
4060,"11,9",instock
4062,"11,9",instock
4063,"14,5",instock
4064,"14,4",instock
4065,"19,5",instock
4066,"20,8",instock
4067,22,instock
4068,"16,6",instock
4069,60,outofstock
4070,"23,4",instock
4071,"33,2",instock
4072,32,instock
4073,"77,8",instock
4074,"12,7",instock
4075,"14,7",instock
4076,"14,05",instock
4077,"22,9",instock
4078,44,instock
4079,37,outofstock
4081,39,outofstock
4083,17,outofstock
4084,"23,2",instock
4085,19,instock
4086,"16,4",instock
4087,"14,4",instock
4090,73,outofstock
4092,47,outofstock
4094,"13,7",instock
4095,"12,6",instock
4096,"22,8",instock
4097,"12,8",instock
4098,"22,1",instock
4099,"12,8",instock
4100,"15,8",instock
4101,"15,8",instock
4102,"16,3",instock
4103,"16,3",instock
4104,"9,7",instock
4105,"6,8",instock
4106,"12,6",instock
4107,35,instock
4108,"31,7",outofstock
4115,100,instock
4130,23,outofstock
4132,"88,4",instock
4137,"29,8",outofstock
4138,"25,7",outofstock
4139,"77,4",instock
4141,39,instock
4142,53,instock
4144,49,instock
4146,"29,5",instock
4147,33,instock
4148,"37,5",instock
4149,69,instock
4150,59,instock
4151,"13,7",outofstock
4152,"19,2",instock
4153,29,outofstock
4154,"9,8",instock
4155,"14,5",instock
4156,"20,35",instock
4157,12,instock
4158,"18,5",outofstock
4159,"9,3",outofstock
4160,"9,3",outofstock
4161,"11,6",outofstock
4162,"14,3",instock
4163,"10,8",instock
4164,"7,6",instock
4165,12,instock
4166,"20,5",instock
4167,"14,3",instock
4168,"18,2",instock
4170,9,instock
